"Filename","LineNumber","Line"
"sidebar-toggle.js","5","function toggleSidebar() {"
"sidebar.php","9","function renderAdminSidebar($activePage = '') {"
"match-flow-helpers.php","16","function getSanitizedParam(string $key, string $default = ''): string"
"match-flow-helpers.php","32","function handleCsrfError(Exception $e, string $context): string"
"match-flow-helpers.php","63","function renderPlayerAssignmentForm(array $team, int $matchId, int $teamId, array $filteredPlayers, array $appearances, string $buttonLabel): string"
"score-components.php","19","function renderScoreDisplayHeader($match, $battingTeam, $bowlingTeam, $currentInnings, $firstInningsTotal) {"
"score-components.php","54","function renderPlayersCard($battingTeamPlayers, $bowlingTeamPlayers, $currentStrikerId, $currentNonStrikerId, $currentBowlerId) {"
"score-components.php","147","function renderCurrentOverSummary() {"
"score-components.php","182","function renderScoringControls($matchId = null, $currentInnings = null) {"
"score-components.php","227","function renderInfoPanel() {"
"score-data-loader.php","16","function loadScoreData(int $matchId): array {"
"score-data-loader.php","145","function getTeamPlayersForMatch(PDO $db, int $matchId, int $teamId): array {"
"score-data-loader.php","168","function getCurrentMatchState(PDO $db, int $matchId, int $currentInnings): array {"
"score-data-loader.php","299","function getDismissedPlayers(PDO $db, int $matchId, int $currentInnings): array {"
"score-data-loader.php","334","function getAvailableBatsmen("
"score-data-loader.php","368","function getPlayerStatsForJs(PDO $db, int $matchId): array {"
"score-modals.php","17","function renderScoreModals($battingTeamPlayers, $bowlingTeamPlayers, $availableBatsmen = []) {"
"score-api.js","7","let matchesApiUrl;"
"score-api.js","8","let eventsApiEndpoint;"
"score-api.js","13","function changeInningsAjax() {"
"score-api.js","64","function finalizeMatch(won) {"
"score-api.js","121","function fetchEvents() {"
"score-api.js","149","function loadMatchState() {"
"score-api.js","256","function updateRecentBalls(events) {"
"score-api.js","289","function checkInningsCompletion() {"
"score-api.js","328","function showStartInningsModal() {"
"score-api.js","338","function closeStartInningsModal() {"
"score-api.js","347","let offlineQueue = JSON.parse(localStorage.getItem('score_offline_queue') || '[]');"
"score-api.js","348","let isOnline = navigator.onLine;"
"score-api.js","366","function saveEvent(eventData) {"
"score-api.js","387","function queueEvent(eventData) {"
"score-api.js","399","function processOfflineQueue() {"
"score-api.js","433","function sendEventToServer(payload) {"
"score-api.js","452","function updateOfflineIndicator() {"
"score-events.js","7","let eventsApiUrl;"
"score-events.js","13","function recordRun(runs) {"
"score-events.js","29","function recordExtra(type) {"
"score-events.js","52","function recordBall(data) {"
"score-events.js","263","function addRecentBall(data) {"
"score-events.js","295","function undoLastBall() {"
"score-events.js","362","function confirmWicket() {"
"score-events.js","370","function swapBatsmen(event) {"
"score-events.js","411","function selectStriker(playerId, playerName) {"
"score-events.js","434","function selectNonStriker(playerId, playerName) {"
"score-events.js","457","function selectBowler(playerId, playerName) {"
"score-init.js","7","let matchData = {};"
"score-init.js","8","let matchViewUrl = '';"
"score-init.js","14","function initializeScoringPage(phpData) {"
"score-init.js","52","function setupModalEventListeners() {"
"score-init.js","78","function setupKeyboardShortcuts() {"
"score-init.js","135","function toggleSidebar() {"
"score-init.js","149","function closeSidebar() {"
"score-modals.js","10","function openPlayerSelect(playerType) {"
"score-modals.js","46","function showExtraRunsModal(extraType) {"
"score-modals.js","61","function closeExtraRunsModal() {"
"score-modals.js","68","function recordExtraWithRuns() {"
"score-modals.js","84","function showWicketModal() {"
"score-modals.js","100","function closeWicketModal() {"
"score-modals.js","108","function recordWicketType(dismissalType) {"
"score-modals.js","130","function showFielderModal() {"
"score-modals.js","137","function closeFielderModal() {"
"score-modals.js","144","function confirmFielder() {"
"score-modals.js","166","function showRunOutSelection() {"
"score-modals.js","174","function closeRunOutModal() {"
"score-modals.js","183","function recordRunOut(who) {"
"score-modals.js","198","function showNewBatsmanModal() {"
"score-modals.js","222","function closeNewBatsmanModal() {"
"score-modals.js","230","function confirmNewBatsman() {"
